sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1657888202.30","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657888202.073751",0,0,1657888202,1,0,completed,"0.665",,,,,,,,,,,
"1657888202.31","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657888202.277861",0,0,1657888202,1,0,completed,"0.683",,,,,,,,,,,
"1657888202.32","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657888202.778586",0,0,1657888203,1,0,completed,"0.878",,,,,,,,,,,
"1657888203.37","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657888203.599001",0,0,1657888203,1,0,completed,"0.329",,,,,,,,,,,
"1657888204.38","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657888204.150612",0,0,1657888204,1,0,completed,"0.227",,,,,,,,,,,
"1657888204.39","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657888204.730246",0,0,1657888204,1,0,completed,"0.254",,,,,,,,,,,
"1657888205.40","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657888205.062623",0,0,1657888205,1,0,completed,"0.11900000000000001",,,,,,,,,,,
"1657888205.41","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657888205.189336",0,0,1657888205,1,0,completed,"0.147",,,,,,,,,,,
"1657888205.42","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657888205.345109",0,0,1657888205,1,0,completed,"0.125",,,,,,,,,,,
"1657888205.43","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657888205.549878",0,0,1657888205,1,0,completed,"0.101",,,,,,,,,,,
"1657891802.53","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657891802.231849",0,0,1657891802,1,0,completed,"0.048",,,,,,,,,,,
"1657891802.54","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657891802.356894",0,0,1657891802,1,0,completed,"0.044",,,,,,,,,,,
"1657891802.56","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657891802.775944",0,0,1657891802,1,0,completed,"0.026000000000000002",,,,,,,,,,,
"1657891802.57","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657891802.850582",0,0,1657891802,1,0,completed,"0.025",,,,,,,,,,,
"1657895401.66","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657895401.963952",0,0,1657895402,1,0,completed,"0.328",,,,,,,,,,,
"1657895402.71","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657895402.241362",0,0,1657895402,1,0,completed,"0.34900000000000003",,,,,,,,,,,
"1657895402.72","| rest splunk_server=local services/server/info","chandana-VirtualBox","1657895402.477806",0,0,1657895402,1,0,completed,"0.3",,,,,,,,,,,
"1657895402.73","| rest services/server/info | sort splunk_server","chandana-VirtualBox","1657895402.740270",0,0,1657895402,1,0,completed,"0.113",,,,,,,,,,,
